,count,mean,std,min,25%,50%,75%,max
age,1000.0,43.333,17.791364299672008,15.0,30.0,41.0,57.0,93.0
educ,1000.0,1.091,0.32065841922803434,1.0,1.0,1.0,1.0,3.0
inc_q,1000.0,2.909,1.4445780718970525,1.0,2.0,3.0,4.0,5.0
emp_in,1000.0,1.273,0.44572375937307823,1.0,1.0,1.0,2.0,2.0
urbanicity,1000.0,1.16,0.366789496216201,1.0,1.0,1.0,1.0,2.0
internet_use,1000.0,0.751,0.4326501891669368,0.0,1.0,1.0,1.0,1.0
internet_use,1000.0,0.751,0.4326501891669368,0.0,1.0,1.0,1.0,1.0
con1,1000.0,1.239,0.42668613881993056,1.0,1.0,1.0,1.0,2.0
con2a,239.0,1.1882845188284519,0.3917596408359311,1.0,1.0,1.0,1.0,2.0
con2b,239.0,1.3807531380753137,0.767927102947794,1.0,1.0,1.0,2.0,8.0
con2c,239.0,1.8702928870292888,0.3366860212155625,1.0,2.0,2.0,2.0,2.0
con2d,239.0,1.3640167364016735,0.6394934442704902,1.0,1.0,1.0,2.0,8.0
con2e,239.0,1.9497907949790796,0.21883466706980007,1.0,2.0,2.0,2.0,2.0
con2f,239.0,1.790794979079498,0.5853238310555748,1.0,2.0,2.0,2.0,8.0
con2g,239.0,1.5523012552301256,0.4983006176020851,1.0,1.0,2.0,2.0,2.0
con3,233.0,4.828326180257511,15.136324920536175,1.0,1.0,1.0,4.0,97.0
con4,239.0,1.6736401673640167,0.4698646911182364,1.0,1.0,2.0,2.0,2.0
con5,78.0,1.1923076923076923,0.838330008288623,1.0,1.0,1.0,1.0,8.0
con6,78.0,1.9230769230769231,0.26819409376060455,1.0,2.0,2.0,2.0,2.0
con7,78.0,1.9230769230769231,0.2681940937606045,1.0,2.0,2.0,2.0,2.0
con8,161.0,1.2111801242236024,0.40941937375078435,1.0,1.0,1.0,1.0,2.0
con9,761.0,1.076215505913272,0.26551712368466296,1.0,1.0,1.0,1.0,2.0
con10,58.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
con11,761.0,1.624178712220762,1.292954140766478,1.0,1.0,1.0,2.0,8.0
con12,761.0,1.0630749014454666,0.29685280051208085,1.0,1.0,1.0,1.0,4.0
con13,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
con14,761.0,1.4402102496714848,0.549556718925225,1.0,1.0,1.0,2.0,8.0
con15,0.0,,,,,,,
con16,432.0,1.3101851851851851,0.46310558944217833,1.0,1.0,1.0,2.0,2.0
con17,761.0,1.9106438896189224,1.1226869698313335,1.0,1.0,2.0,2.0,8.0
con18,761.0,1.6557161629434953,0.5303891752527172,1.0,1.0,2.0,2.0,8.0
con19,268.0,1.3171641791044777,0.46624263015379863,1.0,1.0,1.0,2.0,2.0
con20,761.0,1.8817345597897503,0.32313454583492635,1.0,2.0,2.0,2.0,2.0
con21,761.0,1.9250985545335086,0.35305176601279026,1.0,2.0,2.0,2.0,8.0
con22,63.0,1.9682539682539681,0.17673143177130224,1.0,2.0,2.0,2.0,2.0
con23,761.0,1.8685939553219448,0.4741465956023606,1.0,2.0,2.0,2.0,8.0
con24,1000.0,1.282,0.45019848809017415,1.0,1.0,1.0,2.0,2.0
con25,282.0,1.8829787234042554,0.3220170961639336,1.0,2.0,2.0,2.0,2.0
con26,751.0,1.1584553928095873,0.5061538741735351,1.0,1.0,1.0,1.0,8.0
con27,751.0,1.1091877496671105,0.7385089523513324,1.0,1.0,1.0,1.0,8.0
con28,717.0,2.093444909344491,0.39327302816776616,1.0,2.0,2.0,2.0,4.0
con29,34.0,2.2941176470588234,1.8509524454822497,1.0,2.0,2.0,2.0,8.0
con30a,759.0,1.2635046113306982,0.44082418272034024,1.0,1.0,1.0,2.0,2.0
con30b,759.0,1.4650856389986824,0.499108399551893,1.0,1.0,1.0,2.0,2.0
con30c,759.0,1.0395256916996047,0.30565088913288,1.0,1.0,1.0,1.0,8.0
con30d,759.0,1.3517786561264822,0.4778402085702121,1.0,1.0,1.0,2.0,2.0
con30e,759.0,1.69433465085639,0.46099244637880415,1.0,1.0,2.0,2.0,2.0
con30f,759.0,1.9855072463768115,0.2640275124340093,1.0,2.0,2.0,2.0,8.0
con30g,759.0,1.8221343873517786,0.44925641040012665,1.0,2.0,2.0,2.0,8.0
con30h,759.0,1.9604743083003953,0.19497049790023832,1.0,2.0,2.0,2.0,2.0
con31a,58.0,1.1206896551724137,0.3286114437199938,1.0,1.0,1.0,1.0,2.0
con31b,58.0,2.0689655172413794,1.8997882519635843,1.0,1.0,2.0,2.0,8.0
con31c,58.0,2.189655172413793,1.648570848923438,1.0,2.0,2.0,2.0,8.0
con31d,58.0,1.3793103448275863,0.48945319317801955,1.0,1.0,1.0,2.0,2.0
con31e,58.0,1.8793103448275863,0.3286114437199938,1.0,2.0,2.0,2.0,2.0
con31f,58.0,1.6206896551724137,0.48945319317801955,1.0,1.0,2.0,2.0,2.0
con31g,58.0,1.8275862068965518,0.3810387941055742,1.0,2.0,2.0,2.0,2.0
con31h,58.0,1.3620689655172413,0.48479606354681765,1.0,1.0,1.0,2.0,2.0
con32,58.0,3.9827586206896552,12.633138515338594,1.0,1.0,1.0,4.0,97.0
